R  G  B
11 20 2b   0  1
50 00 8f   0  0
a0 81 2b   1  0
00 40 0b   0  0

60 10 db   0  0
00 00 0b   0  0
00 01 4b   1  0
f0 d1 ef   1  0

00 00 2b   0  0
01 00 8f   0  1
01 00 2b   0  1
01 00 0b   0  1

00 00 db   0  0
00 01 0b   1  0
00 00 4b   0  0
00 00 eb   0  0

00 01 2f   1  0
00 00 8b   0  0
01 00 2f   0  1
00 01 0f   1  0

00 00 db   0  0
00 00 0b   0  0
00 00 4b   0  0
00 00 eb   0  0

00 00 2b   0  0
00 00 8b   0  0
00 00 2f   0  0
00 00 0b   0  0

00 01 db   1  0
01 01 0f   1  1
01 01 4f   1  1
01 01 ef   1  1
